"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
239745	"SOUTHPORT BUS STOP"	"ZAZASOUTHPORTBUSSTOP"
187942	"URIAH - BUS STOP"	"ZAZAURIAH-BUSSTOP"
187592	"VIOLET BANK"	"ZAZAVIOLETBANK"
187932	"VLEISBOOM - BUS STOP"	"ZAZAVLEISBOOM-BUSSTOP"
8317	"CAPE TOWN"	"ZAZACAPETOWN"
8320	"CRADOCK"	"ZAZACRADOCK"
32759	"COFIMVABA"	"ZAZACOFIMVABA"
6915	"CATHCART"	"ZAZACATHCART"
6920	"COLESBERG"	"ZAZACOLESBERG"
8315	"CALEDON"	"ZAZACALEDON"
217189	"CHIVHU"	"ZAZACHIVHU"
8319	"COOKHOUSE"	"ZAZACOOKHOUSE"
275439	"CEDARVILLE"	"ZAZACEDARVILLE"
226434	"CHEGUTU"	"ZAZACHEGUTU"
8316	"CALVINIA"	"ZAZACALVINIA"
11074	"CHIRUNDU"	"ZAZACHIRUNDU"
201970	"CHITUNGWIZA"	"ZAZACHITUNGWIZA"
10926	"CHRISTIANA"	"ZAZACHRISTIANA"
11063	"CITRUSDAL"	"ZAZACITRUSDAL"
218794	"CHIAWELO"	"ZAZACHIAWELO"
247124	"CHIPINGE"	"ZAZACHIPINGE"
8318	"CLANWILLIAM"	"ZAZACLANWILLIAM"
55163	"CALIFORNIA"	"ZAZACALIFORNIA"
30492	"CAMPBELL"	"ZAZACAMPBELL"
28912	"CARLTONVILLE"	"ZAZACARLTONVILLE"
318844	"CARLTONVILLE"	"ZAZACARLTONVILLE"
187593	"CASTEEL"	"ZAZACASTEEL"
272277	"CHAVANI"	"ZAZACHAVANI"
247122	"CHECHECHE"	"ZAZACHECHECHE"
226181	"CHIREDZI"	"ZAZACHIREDZI"
304999	"CHISEKESI"	"ZAZACHISEKESI"
189387	"CHOMA"	"ZAZACHOMA"
250765	"CLOCKLAND"	"ZAZACLOCKLAND"
329919	"CLOCOLAN"	"ZAZACLOCOLAN"
187586	"COGHLAN"	"ZAZACOGHLAN"
217770	"COMFIMVABA"	"ZAZACOMFIMVABA"
28810	"CULLINAN"	"ZAZACULLINAN"
6944	"HEIDELBERG ( CAPE )"	"ZAZAHEIDELBERG(CAPE)"
576039	"RICHMOND ( N C )"	"ZAZARICHMOND(NC)"
247760	"MIDDELBURG ( CPT )"	"ZAZAMIDDELBURG(CPT)"
23661	"WILD COAST SUN"	"ZAZAWILDCOASTSUN"
6415	"DURBAN"	"ZAZADURBAN"
317521	"DE DOORNS"	"ZAZADEDOORNS"
11093	"DE RUST"	"ZAZADERUST"
30495	"DEALESVILLE"	"ZAZADEALESVILLE"
6891	"DELAREYVILLE"	"ZAZADELAREYVILLE"
237893	"DANIELSKUIL"	"ZAZADANIELSKUIL"
665311	"DE DEUR"	"ZAZADEDEUR"
